          DH  INJV           Xt           Mt          XMt          NDH
     1.05384   0.2      0.00000      0.00000      0.00000      0.00000
     1.55011   3.0      0.00000      0.00000      0.00000      0.00000
     0.76896   3.0      0.00000      0.00000      0.00000      0.00000
   -27.86573   3.0      0.00000      0.00000      0.00000      0.00000
    -1.22915   3.0      0.00000      0.00000      0.00000      0.00000
    -1.16286   3.0      0.00000      0.00000      0.00000      0.00000
     4.05437   3.0      0.00000      0.00000      0.00000      0.00000
     7.62664   3.0      0.00000      0.00000      0.00000      0.00000
    13.88327   3.0      0.00000      0.00000      0.00000      0.00000
     7.50297   3.0      0.00000      0.00000      0.00000      0.00000
    13.16288   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
